id_transmission,id_pays,besoin_arv_min,besoin_arv_median,besoin_arv_max,pourcentage_recu_min,pourcentage_recu_median,pourcentage_recu_max
1,1,100,200,500,7,11,18
2,3,500,500,500,69,74,78
3,4,19000,25000,32000,29,38,48
4,5,1600,1800,2000,85,95,95
5,7,100,100,100,0,0,0
6,10,100,100,200,51,58,65
7,12,200,200,200,24,28,33
8,14,200,500,500,67,90,95
9,16,100,100,200,39,44,49
10,17,1600,2600,4300,95,95,95
11,19,500,500,500,95,95,95
12,21,10000,13000,14000,77,95,95
13,25,3600,4900,6100,71,95,95
14,26,3800,5000,6000,61,80,95
15,28,600,730,850,71,85,95
16,29,21000,27000,32000,61,80,94
17,31,3300,4500,5800,52,71,91
18,32,7200,10000,13000,40,56,72
19,33,500,500,500,95,95,95
20,35,1900,2300,2700,17,21,25
21,37,2800,4100,5800,17,25,36
22,39,13000,18000,24000,65,90,95
23,41,200,200,200,86,95,95
24,45,20000,26000,31000,33,44,52
25,47,200,500,500,22,30,39
26,48,690,910,1200,64,84,95
27,49,500,500,620,68,95,95
28,50,500,500,500,15,16,18
29,51,500,500,500,33,40,46
30,52,1800,2600,3500,35,50,68
31,53,500,500,690,34,48,69
32,55,9000,11000,12000,66,79,89
33,56,14000,20000,28000,63,92,95
34,59,1100,1200,1300,0,0,0
35,60,1900,2700,3600,52,72,95
36,61,820,1000,1300,54,68,86
37,63,500,500,500,0,0,0
38,64,12000,16000,21000,58,79,95
39,66,720,790,870,31,34,38
40,67,3800,5100,6600,48,65,84
41,68,1700,2100,2500,38,48,58
42,69,200,200,500,67,89,95
43,70,4700,5900,6800,67,83,95
44,71,500,500,500,48,59,72
45,75,10000,12000,14000,13,15,18
46,76,200,500,840,41,81,95
47,77,100,100,100,0,0,0
48,78,100,100,100,0,0,0
49,79,500,500,500,0,0,0
50,80,500,500,500,95,95,95
51,83,550,610,660,54,59,65
52,84,49000,63000,80000,70,91,95
53,86,200,200,500,69,88,95
54,87,500,500,500,31,35,41
55,90,8200,11000,12000,59,77,89
56,91,1500,2000,2300,70,93,95
57,92,100,200,200,56,63,69
58,95,820,1100,1600,19,25,36
59,96,34000,45000,53000,80,95,95
60,97,500,500,500,86,95,95
61,99,8300,10000,13000,19,24,31
62,101,200,200,200,31,38,47
63,102,100,100,100,95,95,95
64,106,500,500,500,50,61,78
65,107,78000,110000,140000,73,95,95
66,108,4700,5400,6100,69,80,89
67,109,8200,10000,12000,92,95,95
68,110,500,500,500,43,51,60
69,113,200,200,200,73,90,95
70,114,1400,1600,2000,48,58,70
71,115,65000,100000,140000,28,44,62
72,118,2700,3200,3800,8,10,12
73,119,200,500,500,83,92,95
74,120,910,1200,1500,59,79,95
75,121,200,500,500,60,88,95
76,122,880,1100,1500,67,85,95
77,123,500,500,500,15,18,22
78,125,100,200,200,0,0,0
79,128,200,500,500,54,73,95
80,130,200,200,200,95,95,95
81,132,6000,8100,9400,79,95,95
82,134,1800,2200,2500,56,65,75
83,140,500,500,730,14,19,31
84,141,210000,290000,350000,63,87,95
85,142,7200,9900,13000,41,56,74
86,143,200,500,500,0,0,0
87,145,760,2000,3700,2,5,9
88,146,100,100,100,84,95,95
89,150,500,500,560,39,46,56
90,151,3200,3900,4500,81,95,95
91,153,4200,5400,6200,62,80,92
92,158,81000,100000,120000,73,93,95
93,159,1900,2200,2500,89,95,95
94,162,62000,83000,98000,70,93,95
95,164,100,200,200,71,95,95
96,165,1400,1500,1600,33,35,38
97,167,2000,2400,2800,69,81,95
98,168,200,500,500,8,13,20
99,169,38000,48000,57000,94,95,95
100,170,48000,63000,76000,71,94,95
